source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,packets_per_second,bytes_per_second,average_packet_size,unique_destination_ips,unique_destination_ports,tcp_syn_count,tcp_rst_count
142.250.4.132,10.21.149.251,443.0,60242.0,TCP,13,11705,0.3098568916320801,41.954851904459254,37775.50319551505,900.3846153846154,1,1,1,0
142.250.4.132,10.21.149.251,443.0,52807.0,TCP,13,12662,0.2628469467163086,49.458440215518024,48172.520769914554,974.0,1,1,1,0
10.21.149.160,10.21.149.251,53.0,64850.0,UDP,1,277,0.001,1000.0,277000.0,277.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,51097.0,UDP,1,226,0.001,1000.0,226000.0,226.0,1,1,0,0
10.21.149.251,150.171.110.87,64439.0,443.0,TCP,13,3688,0.3121621608734131,41.64502181695146,11814.372343147461,283.6923076923077,1,1,1,0
150.171.110.87,10.21.149.251,443.0,64439.0,TCP,17,7844,0.35616469383239746,47.730727650393646,22023.519275863986,461.4117647058824,1,1,1,0
10.21.149.251,10.21.149.160,49865.0,53.0,UDP,1,80,0.001,1000.0,80000.0,80.0,1,1,0,0
10.21.149.251,10.21.149.160,50542.0,53.0,UDP,1,80,0.001,1000.0,80000.0,80.0,1,1,0,0
10.21.149.251,10.21.149.160,50989.0,53.0,UDP,1,80,0.001,1000.0,80000.0,80.0,1,1,0,0
10.21.149.251,10.21.149.160,59498.0,53.0,UDP,1,75,0.001,1000.0,75000.0,75.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,59498.0,UDP,1,203,0.001,1000.0,203000.0,203.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,49865.0,UDP,1,158,0.001,1000.0,158000.0,158.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,50989.0,UDP,1,124,0.001,1000.0,124000.0,124.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,50542.0,UDP,1,124,0.001,1000.0,124000.0,124.0,1,1,0,0
10.21.149.251,142.250.205.78,50567.0,443.0,TCP,15,6761,0.3821992874145508,39.246540990355946,17689.724242386437,450.73333333333335,1,1,1,0
10.21.149.251,10.21.149.160,51605.0,53.0,UDP,1,82,0.001,1000.0,82000.0,82.0,1,1,0,0
10.21.149.251,10.21.149.160,63250.0,53.0,UDP,1,82,0.001,1000.0,82000.0,82.0,1,1,0,0
